Issuer,Title,Content
komercijalna-banka-ad-skopje/,Комерцијална банка АД Скопје,"Комерцијална банка АД Скопје ги објавува неревидираните (неконсолидирани) Биланс на успех, Биланс на состојба и Извештајот за паричниот тек за периодот 01.01 – 30.09.2024 година."
komercijalna-banka-ad-skopje/,Комерцијална банка АД Скопје," Комерцијална банка АД Скопје го објавува неревидираниот (консолидиран) финансиски извештај за периодот 01.01. – 30.06.2024 година. Неревидираниот (консолидиран) финансиски извештај на Банката за периодот 01.01-30.06 2024 година се состои од финансиските извештаи на Комерцијална банка АД Скопје, на подружницата КБ Инвест АД Скопје – Друштво за управување со инвестициони фондови, претставени како финансиски извештаи на едно правно лице. "
komercijalna-banka-ad-skopje/,Комерцијална банка АД Скопје, Комерцијална банка АД Скопје го објавува неревидираниот (единечен) финансиски извештај за периодот 01.01. – 30.06 2024 година. 
komercijalna-banka-ad-skopje/,Комерцијална банка АД Скопје," Комерцијална банка АД Скопје ги објавува (неревидираните) неконсолидирани Биланс на успех, Биланс на состојба и Извештајот за паричните текови за периодот 01.01 – 31.03.2024 година.Комерцијална банка АД Скопје ги потсетува постојните и потенцијалните инвеститори дека при носењето на своите инвестициски одлуки потребно е да ги имаат во предвид како краткорочните квартални резултати од работењето, така и долгорочните годишни предвидувања, планираните активности и нивниот ефект на финансискиот резултат и сите останати релевантни информации. "
komercijalna-banka-ad-skopje/,Комерцијална банка АД Скопје, - Консолидирани ревидирани финансиски извештаи за 2023 година- Посебни ревидирани финансиски извештаи за 2023 година 
komercijalna-banka-ad-skopje/,Комерцијална банка АД Скопје," Комерцијална банка АД Скопје го објавува неревидираниот (консолидиран) финансиски извештај за периодот 01.01. – 31.12 2023 година.Неревидираниот (консолидиран) финансиски извештај на Банката за периодот 01.01 - 31.12 2023 година се состои од финансиските извештаи на Комерцијална банка АД Скопје, на подружницата КБ Публикум инвест АД Скопје – Друштво за управување со инвестициони, претставени како финансиски извештаи на едно правно лице. "
komercijalna-banka-ad-skopje/,Комерцијална банка АД Скопје, Комерцијална банка АД Скопје го објавува неревидираниот (неконсолидиран) финансиски извештај за периодот 01.01. – 31.12 2023 година. 
komercijalna-banka-ad-skopje/,Комерцијална банка АД Скопје," Комерцијална банка АД Скопје ги објавува неревидираните (неконсолидирани) Биланс на успех, Биланс на состојба и Извештајот за паричниот тек за периодот 01.01 – 30.09.2023 година. "
komercijalna-banka-ad-skopje/,Комерцијална банка АД Скопје, Комерцијална банка АД Скопје го објавува неревидираниот (единечен) финансиски извештај за периодот 01.01. – 30.06 2023 година. 
komercijalna-banka-ad-skopje/,Комерцијална банка АД Скопје," Комерцијална банка АД Скопје го објавува неревидираниот (консолидиран) финансиски извештај за периодот 01.01. – 30.06.2023 година. Неревидираниот (консолидиран) финансиски извештај на Банката за периодот 01.01-30.06 2023 година се состои од финансиските извештаи на Комерцијална банка АД Скопје, на подружницата КБ Публикум инвест АД Скопје – Друштво за управување со инвестициони фондови, претставени како финансиски извештаи на едно правно лице. "
